performance_name,performance_date,performance_casts,performance_genre,performance_venue
TIFFANY YOUNG „ÄåOPEN HEARTS EVE„Ä?,2019.08.03,Tiffany(Girls' Generation),Concert,YES24 LIVEHALL
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
Xcalibur,2019.06.28 ~ 2019.08.04,"Xia(JYJ), DK(SEVENTEEN) etc",Musical,Sejong Center for the Performing Arts
2019 EXO CONCERT „ÄåEXO PLANET #5 The EXplOration„Ä?,2019.07.19 ~ 2019.07.28,EXO,Concert,"KSPO DOME, Olympic Park"
2019 JEONG SEWOON CONCERT „ÄåZERO„Ä?,2019.07.20,Jeong Sewoon,Concert,"Grand hall, Yonsei University"
HA SUNG WOON 1st Concert „ÄåDive in Color„Ä?,2019.07.26 ~ 2019.07.27,Ha Sung Woon,Concert,Jamsil Indoor Stadium
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
Xcalibur,2019.06.28 ~ 2019.08.04,"Xia(JYJ), DK(SEVENTEEN) etc",Musical,Sejong Center for the Performing Arts
2019 EXO CONCERT „ÄåEXO PLANET #5 The EXplOration„Ä?,2019.07.19 ~ 2019.07.28,EXO,Concert,"KSPO DOME, Olympic Park"
2019 LEE MIN WOO FAN MEETING „ÄåHAPPY M„Ä?,2019.07.20,Lee Min Woo(Shinhwa),Fanmeeting,Yonsei University Centennial Hall
2019 JU JI HOON ASIA TOUR „ÄåALL ABOUT JU JI HOON „Ä?IN SEOUL,2019.07.21,Ju Ji Hoon,Fanmeeting,"Grand Peace Palace, Kyung Hee University"
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
Xcalibur,2019.06.28 ~ 2019.08.04,"Xia(JYJ), DK(SEVENTEEN) etc",Musical,Sejong Center for the Performing Arts
PARK HYO SHIN LIVE 2019 „ÄåLOVERS : where is your love?„Ä?,2019.06.29 ~ 2019.07.13,Park Hyo Shin,Concert,"KSPO DOME, Olympic Park"
PARK HYO SHIN STPD 2019 „ÄåLOVERS : behind the scenes„Ä?,2019.07.02 ~ 2019.07.09,Park Hyo Shin,Fanmeeting,"KSPO DOME, Olympic Park"
2019 MAMAMOO FAN MEETING,2019.07.13,Mamamoo,Fanmeeting,"Hwajung Gymnasium, Korea University"
TEENTOP „ÄåPARTY TO N9NE„É?019 LIVE in Seoul„Éº„Ä?,2019.07.13 ~ 2019.07.14,TEENTOP,Concert,YES24 LIVEHALL
AB6IX 1ST FANMEETING Ôº?ST ABNEWÔº?IN SEOUL,2019.07.13 ~ 2019.07.14,AB6IX,Fanmeeting,Jamsil Indoor Stadium
A-Teen Fanmeeting „ÄåA - TEEN FAN MEET ‚Ä?UP„Ä?,2019.07.13,Choi Bo Min(Golden Child) etc,Fanmeeting,SMTOWN Coex Artium
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
Xcalibur,2019.06.28 ~ 2019.08.04,"Xia(JYJ), DK(SEVENTEEN) etc",Musical,Sejong Center for the Performing Arts
PARK HYO SHIN LIVE 2019 „ÄåLOVERS : where is your love?„Ä?,2019.06.29 ~ 2019.07.13,Park Hyo Shin,Concert,"KSPO DOME, Olympic Park"
"PARK HYO SHIN STPD 2019 „ÄåLOVERS : behind the scenes„Ä?""",2019.07.02 ~ 2019.07.09,Park Hyo Shin,Fanmeeting,"KSPO DOME, Olympic Park"
JAY PARK „ÄåSEXY 4EVA„Ä?WORLD TOUR IN SEOUL,2019.07.06 ~ 2019.07.07,Jay Park,Concert,"Olympic Hall, Olympic Park"
2019 Kim Jong Kook Concert „ÄåFinding Kim Jong-kook„Ä?ENCORE,2019.07.06 ~ 2019.07.07,Kim Jong Kook,Concert,Chungmu Art Hall Grand Theater
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
Xcalibur,2019.06.28 ~ 2019.08.04,"Xia(JYJ), DK(SEVENTEEN) etc",Musical,Sejong Center for the Performing Arts
2019 KIM NAM GIL ROAD SHOW,2019.06.29,Kim Nam Gil,Fan Meeting,Coex Auditorium
2019 The STATION,2019.06.29 ~ 2019.06.30,"Chen(EXO), Red Velvet etc",Concert,"Olympic Hall, Olympic Park"
2019 SANDEUL CONCERT ‚ÄòWIND FOREST‚Ä?,2019.06.29 ~ 2019.06.30,Sandeul(B1A4),Concert,Blue Square I-Market Hall
PARK HYO SHIN LIVE 2019 „ÄåLOVERS : where is your love?„Ä?,2019.06.29 ~ 2019.07.13,Park Hyo Shin,Concert,"KSPO DOME, Olympic Park"
ZICO 1st FANMEETING „ÄåSMALL TALK„Ä?,2019.06.30,ZICO,Fanmeeting,YES24 LIVEHALL
2019 FTISLAND LIVE [II] IN SEOUL,2019.06.29 ~ 2019.06.30,FTisland,Concert,"Hwajung Gymnasium, Korea University"
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
Xcalibur,2019.06.28 ~ 2019.08.04,"Xia(JYJ), DK(SEVENTEEN) etc",Musical,Sejong Center for the Performing Arts
BTS 5TH MUSTER „ÄåMAGIC SHOP 2„Ä?,2019.06.22 ~ 2019.06.23,BTS,Fan Meeting,"KSPO DOME, Olympic Park"
A.C.E 1st Concert „ÄåUNDER COVER : AREA NO.1 KOREA„Ä?,2019.06.23,A.C.E,Concert,YES24 LIVE HALL
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
Swag Age,2019.06.21 ~ 2019.08.25,Jun(UNB) etc,Musical,"Doosan Art Center, Yongkang Hall"
IZ*ONE 1ST Concert „ÄåEYES ON ME„Ä?IN SEOUL,2019.06.07 ~ 2019.06.09,IZ*ONE,Concert,Jamsil Indoor Stadium
VIXX LEO 2nd Concert „ÄåMUSE„Ä?,2019.06.14 ~ 2019.06.16,LEO(VIXX),Concert,Blue Square I-Market Hall
2019 SUNMI THE 1ST WORLD TOUR [WARNING] ENCORE,2019.06.15,Sunmi,Concert,YES24 LIVE HALL
GOT7 2019 WORLD TOUR „ÄåKEEP SPINNING„Ä?in SEOUL,2019.06.15 ~ 2019.06.16,GOT7,Concert,"KSPO DOME, Olympic Park"
MEFISTO,2019.05.25 ~ 2019.07.28,"Nam Woo Hyun(INFINITE), Ken(VIXX) etc",Musical,Gwanglim Art Center BBCH Hall
2019 WAY BACK XIA ENCORE CONCERT,2019.05.31 ~ 2019.06.02,XIA(JYJ),Concert,"Hwajung Gymnasium, Korea University"
CHANSUNG FANMEETING „ÄåTMC: Too Much Chanformation„Ä?,2019.06.01,CHANSUNG(2PM),Fan Meeting,YES24 LIVE HALL
"2019 Shin Seung-hun Fanmeeting [Been There, Done That]",2019.06.02,Shin Seung-hun,Fan Meeting,YES24 LIVE HALL
IZ*ONE 1ST Concert „ÄåEYES ON ME„Ä?IN SEOUL,2019.06.07 ~ 2019.06.09,IZ*ONE,Concert,Jamsil Indoor Stadium
JBJ95 Asia Fan Meeting Tour [AWAKE],2019.06.08,JBJ95,Fan Meeting,"DeaYang Hall, Sejong University"
2019 JUNG IL WOO ASIA FAN MEETING „Äåhim„Ä?in SEOUL,2019.06.08,Jung Il Woo,Fan Meeting,ECC SamsungHall
